link,annotation,article
https://deti.mann-ivanov-ferber.ru/2024/09/03/finansovaya-gramotnost-dlya-podrostkov-kak-nauchitsya-zarabatyvat-kopit-i-ekonomit-dengi/,Официальная подработка,"По закону работать можно с 14 лет в свободное от учебы время до 4 часов в день, c 15 лет — до 5 часов, а с 16 до 18 — по 7 часов. И только с письменного согласия родителей. Но как понять, чем хочется заниматься?

Идеальная работа
Есть отличная формула: Идеальная работа = то, что приносит деньги, + то, что приносит радость +то, что получается особенно хорошо.

Пересечение всех трех окружностей может подарить тебе идеальную работу.



Конечно, сразу понять, как объединить свои навыки, интересы и желания, непросто. Не отчаивайся, если ты не смог отыскать ее с первой попытки. Пробуй разные направления, не бойся экспериментировать. Так ты быстрее поймешь, что именно тебе нравится, и найдешь свою работу мечты.

Начни с того, что любишь
Легче и приятнее всего начинать поиск работы с того, что умеешь и любишь. Хорошо владеешь компьютером и разбираешься в программах? Умеешь набирать тексты, обрабатывать фото или создавать сайты? Обрати внимание на сферы дизайна, верстки и помощи по работе с текстовыми файлами.

Может быть, ты человек динамичный. Тебе важно быть в постоянном движении, и не только потому, что это полезно для здоровья. Ты любишь гулять по городу, изучать улочки, знаешь, где что находится. Возможно, тебе подойдет работа курьером.

Список карьерных возможностей
Выгул собак
Вынос мусора
Мытье окон
Мытье автомобиля
Бебиситтерство
Стрижка газона
Раздача листовок
Расклейка объявлений
Работа курьером
Написание текстов
Ведение соцсетей
Создание презентаций
Снятие и монтаж видеороликов
Обработка фотографий
Репетиторство"
https://deti.mann-ivanov-ferber.ru/2024/09/03/finansovaya-gramotnost-dlya-podrostkov-kak-nauchitsya-zarabatyvat-kopit-i-ekonomit-dengi/,Финансовый план,"Большинство миллионеров и миллиардеров никогда не добились бы своих целей, если бы у них не было финансового плана. Без плана с четко обозначенными целями ты ничего не добьешься и постоянно будешь страдать от нехватки денег.

Невозможно поставить перед собой финансовые цели раз и навсегда. Одни задачи можно решить за час, за день или за неделю; на решение других уйдут месяцы или годы. Тебе нужно сформулировать три вида целей: кратко-, средне- и долгосрочные.

Краткосрочные цели — это когда ты копишь деньги, чтобы купить билет на концерт любимой группы, который состоится на следующей неделе. Или желаешь приобрести новый телефон или скейтборд. Или, возможно, ты просто хочешь положить в банк какую-то сумму, чтобы начать копить миллион.
Среднесрочные цели — если ты хочешь купить машину, отправиться путешествовать, накопить денег на учебу или начать жить самостоятельно, когда станешь студентом.
Долгосрочные цели — это цели, для достижения которых требуется 20, 30, 40 лет и более. Указанные сроки могут показаться слишком продолжительными, но именно так думали миллионы людей до тебя, пока не обнаруживали, что у них нет сбережений на старость, поскольку они не поставили перед собой долгосрочную финансовую цель в подростковом возрасте.


Очень важно сформулировать финансовые цели максимально четко. Ты должен точно знать, чего хочешь. Запиши цели на листе бумаги, распечатай на принтере или сделай заметку в телефоне."
https://deti.mann-ivanov-ferber.ru/2024/09/03/finansovaya-gramotnost-dlya-podrostkov-kak-nauchitsya-zarabatyvat-kopit-i-ekonomit-dengi/,Как экономить,"Этот шаг — один из самых важных. Вот несколько полезных советов.

Отличать реальные потребности от мнимых. Существуют базовые потребности — например, потребность в пище, воде, одежде и крыше над головой. Но некоторые вещи мы хотим иметь только потому, что, как нам кажется, они сделают нашу жизнь более приятной или заставят окружающих обратить на нас внимание. Если эти мнимые потребности не будут удовлетворены, с нами ничего не случится. Пока ты копишь на мечту, постарайся сосредоточиться на ней.
Использовать метод некупленных товаров. Когда тебе сильно захочется приобрести новые кроссовки или очередной модный аксессуар, попробуй отложить покупку на пару дней. Эмоции улягутся, и ты сможет принять взвешенное решение.
Сначала заплати себе. Когда ты получаешь деньги на карманные расходы, их хочется сразу потратить. Купить и эту компьютерную игру, и те модные джинсы, не говоря уже о том, что совершенно необходим новый гаджет, хотя старый еще прекрасно работает. Как можно сэкономить, если постоянно приходится что-то покупать? Ответ прост. Заплатить сначала себе. И поступать так каждый раз, получая деньги. Иными словами, как только у тебя в кошельке или копилке появляются деньги, клади часть из них на счет в банке (или в конверт) — до того, как потратить хотя бы рубль. Найти пожирателей денег и отмечать дни, когда устоял перед ними. Нужно нарисовать календарики и записать в них соблазны, которые «съедают» больше всего денег. Заполненные календарики покажут главные слабости, а пустые — то, на чем удается экономить.
Метод рабочего времени. Если ты когда-нибудь зарабатывал деньги сам, то может представить, сколько времени придется работать, чтобы купить, например, еще один свитшот. Такая мысль сделает импульсивную трату менее приятной.
Привычка откладывать деньги. Чтобы сохранить деньги и начать копить, заведи счет в банке. Если ты будешь регулярно его пополнять, то сумма будет постоянно увеличиваться. При выборе банка следует учитывать такие факторы, как его надежность, ставка процента по вкладам, возможность получения дополнительных услуг и доступность филиалов и банкоматов. Открыть банковский счет в России можно с 14 лет. Правда, такие счета заводят не все банки. В некоторых стать клиентом можно только с 18 лет. Если что, счет на твое имя может быть открыт родителями или опекунами. Такие счета называются доверительными, или трастовыми."
https://deti.mann-ivanov-ferber.ru/2024/09/03/finansovaya-gramotnost-dlya-podrostkov-kak-nauchitsya-zarabatyvat-kopit-i-ekonomit-dengi/,Где хранить сбережения,"Экономить — не значит хранить деньги в чулке. Почему? Потому что если ты знаешь, что деньги лежат у тебя дома, под рукой, экономить будет трудно. У тебя же есть куча денег! Они жгут тебе карманы. Они буквально кричат: «Потрать нас! Потрать нас!» Чтобы избежать соблазна, лучше отнести деньги в банк. Почему? Потому что, потратив деньги, ты уже никогда их не вернешь.

Кроме того, дома их легко потерять. Кто-то из членов твоей семьи может случайно их потратить и потом забыть вернуть долг. Наконец, их могут украсть воры. А счет в банке — это надежно. Он поможет сохранить деньги и начать копить, если ты будешь регулярно его пополнять. Чтобы скопить миллион как можно быстрее, храни деньги в банке."
https://deti.mann-ivanov-ferber.ru/2024/09/03/finansovaya-gramotnost-dlya-podrostkov-kak-nauchitsya-zarabatyvat-kopit-i-ekonomit-dengi/,Как научиться не тратиться на мелочи,"Ниже мы предлагаем несколько методов, которые помогут относиться к деньгам бережно. Вот что ты можешь сделать.

Метод записной книжки. Записывай каждую свою трату. Это поможет тебе увидеть необязательные расходы и посчитать деньги, потраченные зря.
Метод 1/10. Посчитай, сколько денег в месяц дают тебе родители. Постарайся сразу отложить не менее 10% от этой суммы, чтобы они не превратились в лишние шоколадки.
Метод четырех конвертов. Действует, если тебе дают карманные деньги на месяц вперед. Возьми четыре конверта, рассортируй деньги на четыре недели. К концу недели конверты не должны пустеть. Клади остаток в общую копилку."
https://deti.mann-ivanov-ferber.ru/2025/10/15/kak-prevratit-1000-₽-v-1-000-000-₽-finansovaya-gramotnost-dlya-podrostkov/,Как сформировать полезные финансовые привычки?,"Каждый раз, когда вы, заработав, тратите и ничего не сохраняете, вы делаете вклад в чужую финансовую систему, но как только вы начинаете накапливать и приумножать, деньги работают на вас.

Даже 500 ₽, отложенные осознанно, — это кирпичик в вашу «машину». Поэтому:

Платите себе первыми. Получили доход — сразу отложите 10–20%, а на оставшееся живите. Иначе не получится.
Отключите ненужные автосписания. Есть подписки, которыми не пользуетесь? Аннулируйте.
Заменяйте привычки. Вместо того чтобы скучать и листать маркетплейсы, посмотрите видео про инвестиции или мотивацию. Вместо того чтобы тратить по 150 ₽ в день на снеки, накопите на колонку, геймпад, велик. Вместо шопинга от нечего делать погуляйте, придумайте проект, устройте челендж «неделя без трат».
Помните: дешево — не значит выгодно. Часто мы покупаем вещи на распродаже только потому, что на них есть скидка, а потом они лежат без дела.
Вывод простой: не скупиться на радость, но и тратить осознанно. Деньги любят уважение, и, если вы умеете делать выбор, они будут у вас оставаться."
https://deti.mann-ivanov-ferber.ru/2025/10/15/kak-prevratit-1000-₽-v-1-000-000-₽-finansovaya-gramotnost-dlya-podrostkov/,Как заработать первые 1000-5000?,"Поставьте себе простую цель: получить первые деньги за свое хобби — не создать идеальный бренд, не сверстать сайт, не задизайнерить визитки, а просто получить деньги от реального человека.

Для этого:

сделайте 3–5 пробных изделий (например, свечи, украшения, иллюстрации)
разместите фото у себя в соцсетях, подписав: «Друзья, делаю вот такие штуки, хочу протестировать. Кому интересно?»
назначьте простую цену и посмотрите на реакцию. Не переживайте, если купят только друзья, — это уже показатель, что у продукта есть ценность
Первые 1000 ₽ — это не просто прибыль, но подтверждение, что ваше хобби кому-то нужно. Однако дальше, чтобы оно стало источником дохода, понадобится конкретный оффер, то есть продукт или услуга, которую вы можете предложить.

Если вы шьете — сделайте линейку удобных косметичек «для поездок». Если любите писать — предложите услугу «оформлю вам текст для сайта» или сделайте подборку авторских открыток. Главное, чтобы предложение решало какую-то задачу клиента: радовало, украшало, помогало, облегчало жизнь."
https://sbersova.ru/sections/youth/5-prostyh-finansovyh-pravil-dlya-podrostkov,Как научиться считать свои деньги?,"Ты только что получил стипендию или карманные деньги от родителей. Планировал откладывать на новый планшет, но через пару недель почти всё потратилось. Планшета нет, а денег снова не хватает.

Почему так происходит? Деньги без счёта утекают незаметно. Если отслеживать каждую трату, становится ясно, куда они ушли.

Лайфхаки, как вести учёт:
скачай простое приложение для записи расходов;
заведи заметки или табличку в телефоне и фиксируй траты;
если хочется писать от руки – подойдёт ежедневник.
Совет: не усложняй. Главное – начать записывать. Пусть даже сначала это будут только крупные покупки. Со временем можно будет увидеть полную картину – и посмотреть, куда действительно уходят деньги.


Интересно: одна из неочевидных и крупных статей расходов – платные сервисы. По итогам опроса, лишь 19% регулярно следят за подписками и отказываются от ненужных. При этом 36% из тех, кто пользуется подписками, тратят на них от 500 до 1000 рублей в месяц, 29% – от 1000 до 2000 рублей, а 21% – до 500 рублей."
https://sbersova.ru/sections/youth/5-prostyh-finansovyh-pravil-dlya-podrostkov,Как откладывать деньги?,"Представь, что во время прогулки ты случайно уронил телефон – у него разбился экран и пользоваться им стало невозможно. Ремонт обойдётся в 10 тысяч рублей, а новый такой же смартфон стоит 50 тысяч рублей. В таких ситуациях выручает база финансовой грамотности: подушка безопасности – деньги, которые лежат у тебя на счёте на непредвиденные крупные расходы.

Почему так важно откладывать? Даже небольшие суммы, если их собирать регулярно, превращаются в ощутимый капитал. Привычка откладывать хотя бы 10% дохода учит дисциплине и даёт чувство уверенности – у тебя всегда есть запас на случай неожиданностей.

Как начать откладывать:
заведи отдельную копилку, банковскую карту или счёт только для накоплений;
переводи туда деньги сразу, как только получил доход (с подработки для подростков, карманных денег или финансовых подарков), а не то, что останется;
начни с минимальной суммы – даже 50-100 рублей в неделю через год превратятся в несколько тысяч.
Совет: забудь про отложенные деньги — это тоже важный навык для повышения финансовой грамотности. Накопления — только для непредвиденных расходов на то, без чего не обойтись."
https://sbersova.ru/sections/youth/5-prostyh-finansovyh-pravil-dlya-podrostkov,Как отличить желания от потребностей?,"Представь – ты заходишь в магазин купить воды, а выходишь с новыми маркерами и красивой кружкой. В итоге деньги улетели, а нужное приходится покупать в спешке и подешевле. 

Как отличить желания от потребностей? Потребности – это вещи, без которых не обойтись: еда, одежда по сезону, учебные принадлежности. Желания – это всё, что приятно, но не критично прямо сейчас. Например, это новые кроссовки, очередной гаджет, пятая футболка. Если путать одно с другим, деньги всегда будут исчезать.

Как перестать покупать импульсивно:
спроси себя – смогу ли я прожить без этой покупки неделю? Если да – скорее всего, это желание;
оцени, есть ли у тебя уже похожая вещь и насколько сильно тебе нужна такая же;
составь список покупок перед походом в магазин – так легче планировать и не путаться.
Совет: не нужно полностью отказываться от желаний, иначе теряется мотивация. Важное правило финансовой грамотности — планирование, поэтому подготовься к своим хотелкам: сначала купи то, что нужно, а потом постепенно копи на то, что очень хочется. 
Интересно: к импульсивным покупкам склонны не только подростки, но и взрослые. Согласно результатам опроса, 46% респондентам старше 18 лет сложно откладывать деньги. Почти треть участников признались, что совершают спонтанные покупки."
